BridgeAndVehicles-PT-V20P10N10-rf; ldd-sat; 24; 0.919598; 6732570
RwMutex-PT-r0010w0500; ldd-sat; 24; 5.523335; 1524
Kanban-PT-0050; rf-otf-ldd-sat; 48; 137.42; 0
BridgeAndVehicles-PT-V20P20N10; ldd-sat; 48; 19.516038; 6732570
Dekker-PT-020; rf-otf-ldd-sat; 48; 2.6; 11534336
BridgeAndVehicles-PT-V20P10N20; ldd-sat; 8; 236.869848; 9076326
CSRepetitions-PT-04; rf-otf-ldd-sat; 32; 14.83; 30948223090688
BridgeAndVehicles-PT-V20P20N20; otf-ldd-sat; 1; 1200; -1
BridgeAndVehicles-PT-V20P10N20; otf-ldd-sat; 48; 221.61; 9076326
PhilosophersDyn-PT-10; otf-ldd-sat; 48; 1200; -1
SmallOperatingSystem-PT-MT0256DC0064; rf-otf-ldd-sat; 16; 92.47; 3372388305
Kanban-PT-0050; rf-otf-ldd-sat; 1; 1200; -1
Kanban-PT-0050-rf; ldd-sat; 32; 132.264625; 10425941194901336
LamportFastMutEx-PT-5; otf-ldd-sat; 8; 168.67; 530682432
BridgeAndVehicles-PT-V20P20N10-rf; ldd-sat; 16; 1.294853; 6732570
BridgeAndVehicles-PT-V20P20N10-rf; ldd-sat; 40; 0.912144; 6732570
SwimmingPool-PT-03; otf-ldd-sat; 16; 1.86; 32209356
BridgeAndVehicles-PT-V20P20N20; rf-otf-ldd-sat; 24; 206.88; 9783606
LamportFastMutEx-PT-5; rf-otf-ldd-sat; 32; 18.73; 530682432
SmallOperatingSystem-PT-MT0128DC0064; otf-ldd-sat; 40; 9.59; 261156753
RwMutex-PT-r0010w0500-rf; ldd-sat; 1; 1.725566; 1524
SmallOperatingSystem-PT-MT0128DC0064-rf; ldd-sat; 32; 3.919865; 261156753
Dekker-PT-015; otf-ldd-sat; 24; 7.39; 278528
Dekker-PT-015; rf-otf-ldd-sat; 16; 0.35; 278528
BridgeAndVehicles-PT-V20P20N20-rf; ldd-sat; 24; 156.424447; 9783606
BridgeAndVehicles-PT-V20P20N10; otf-ldd-sat; 40; 49.16; 6732570
Angiogenesis-PT-10-rf; ldd-sat; 48; 1096.758285; 822645885495
TCPcondis-PT-10-rf; ldd-sat; 16; 140.660851; 13761971603
RwMutex-PT-r0010w2000; ldd-sat; 48; 81.79981; 3024
PhilosophersDyn-PT-10-rf; ldd-sat; 48; 12.410885; 199051
Solitaire-PT-EngNC7x7; rf-otf-ldd-sat; 8; 562.22; 187636299
SwimmingPool-PT-02; otf-ldd-sat; 24; 0.64; 3408031
BridgeAndVehicles-PT-V20P20N10-rf; ldd-sat; 8; 1.774046; 6732570
Solitaire-PT-EngNC7x7; otf-ldd-sat; 48; 137.35; 187636299
TCPcondis-PT-10; otf-ldd-sat; 24; 12.31; 13761971603
SmallOperatingSystem-PT-MT0256DC0064; rf-otf-ldd-sat; 8; 93.17; 3372388305
RwMutex-PT-r0020w0010; rf-otf-ldd-sat; 32; 6.9; 1048586
TCPcondis-PT-10; ldd-sat; 48; 38.214272; 13761971603
SwimmingPool-PT-07; ldd-sat; 24; 960.213608; 4160404431
BridgeAndVehicles-PT-V20P10N10; rf-otf-ldd-sat; 40; 2.56; 6732570
BridgeAndVehicles-PT-V20P20N10; rf-otf-ldd-sat; 32; 2.64; 6732570
SwimmingPool-PT-02-rf; ldd-sat; 1; 25.019018; 3408031
Dekker-PT-020; otf-ldd-sat; 24; 1200; -1
BridgeAndVehicles-PT-V20P20N10-rf; ldd-sat; 24; 0.937446; 6732570
RwMutex-PT-r0020w0010; rf-otf-ldd-sat; 8; 22.57; 1048586
TCPcondis-PT-10; rf-otf-ldd-sat; 48; 3.85; 13761971603
QuasiCertifProtocol-PT-06; otf-ldd-sat; 16; 0.82; 2271960
Kanban-PT-0050; rf-otf-ldd-sat; 32; 191.89; 0
SwimmingPool-PT-02; rf-otf-ldd-sat; 32; 2.52; 3408031
PhilosophersDyn-PT-10-rf; ldd-sat; 8; 50.156757; 199051
TCPcondis-PT-10; ldd-sat; 40; 42.733932; 13761971603
BridgeAndVehicles-PT-V20P10N10; rf-otf-ldd-sat; 16; 3.86; 6732570
SmallOperatingSystem-PT-MT0256DC0064; rf-otf-ldd-sat; 40; 61.26; 3372388305
BridgeAndVehicles-PT-V20P20N20-rf; ldd-sat; 8; 379.915697; 9783606
BridgeAndVehicles-PT-V20P10N10; otf-ldd-sat; 8; 118.58; 6732570
Dekker-PT-015-rf; ldd-sat; 40; 0.141902; 278528
RwMutex-PT-r0010w1000; otf-ldd-sat; 8; 54.12; 2024
SmallOperatingSystem-PT-MT0256DC0064; rf-otf-ldd-sat; 32; 85.99; 3372388305
SafeBus-PT-06; rf-otf-ldd-sat; 24; 83.27; 6816756
BridgeAndVehicles-PT-V20P20N10; rf-otf-ldd-sat; 1; 10.32; 6732570
QuasiCertifProtocol-PT-06; otf-ldd-sat; 8; 1.19; 2271960
PhilosophersDyn-PT-10; otf-ldd-sat; 8; 1200; -1
Angiogenesis-PT-10; rf-otf-ldd-sat; 16; 19.51; 822645885495
SwimmingPool-PT-07; otf-ldd-sat; 40; 52.02; 4160404431
SwimmingPool-PT-07; rf-otf-ldd-sat; 16; 1200; -1
BridgeAndVehicles-PT-V20P10N20; ldd-sat; 16; 139.488281; 9076326
SwimmingPool-PT-07; otf-ldd-sat; 1; 1007.96; 4160404431
Dekker-PT-015; ldd-sat; 32; 2.842272; 278528
SmallOperatingSystem-PT-MT0256DC0064; otf-ldd-sat; 1; 957.33; 3372388305
Angiogenesis-PT-10; rf-otf-ldd-sat; 8; 30.74; 822645885495
BridgeAndVehicles-PT-V20P20N10; ldd-sat; 1; 241.828785; 6732570
SwimmingPool-PT-02; rf-otf-ldd-sat; 1; 34.0; 3408031
Solitaire-PT-EngNC7x7; ldd-sat; 1; 1200; -1
Kanban-PT-0050; rf-otf-ldd-sat; 8; 636.2; 0
Angiogenesis-PT-10; rf-otf-ldd-sat; 24; 17.13; 822645885495
BridgeAndVehicles-PT-V20P10N20; otf-ldd-sat; 16; 368.06; 9076326
SwimmingPool-PT-02; ldd-sat; 24; 0.144019; 3408031
SwimmingPool-PT-02-rf; ldd-sat; 8; 5.171544; 3408031
Solitaire-PT-EngNC7x7; otf-ldd-sat; 24; 213.9; 187636299
Dekker-PT-020; otf-ldd-sat; 1; 1200; -1
BridgeAndVehicles-PT-V20P20N10; ldd-sat; 40; 20.834637; 6732570
RwMutex-PT-r0010w0500-rf; ldd-sat; 24; 1.0736; 1524
Dekker-PT-015-rf; ldd-sat; 24; 0.113788; 278528
TCPcondis-PT-10; ldd-sat; 1; 579.044815; 13761971603
