BridgeAndVehicles-PT-V20P10N50; ldd-chaining; 2; 941.586496; 9080862
DatabaseWithMutex-PT-40; otf-ldd-sat; 16; 1200; -1
BridgeAndVehicles-PT-V80P20N20; otf-ldd-sat; 4; 1200; -1
ResAllocation-PT-R003C003; ldd-sat; 1; 0.015232; 92
SquareGrid-PT-040204; otf-ldd-sat; 8; 1200; -1
DES-PT-01b; rf-otf-ldd-sat; 4; 1200; -1
CloudDeployment-PT-2b; ldd-par; 2; 1800; -1
Philosophers-PT-000050; otf-ldd-sat; 16; 0.19; 0
CloudDeployment-PT-7a-rf; ldd-sat; 8; 19.092923; 266479893342
Echo-PT-d05r03; otf-ldd-sat; 2; 1200; -1
AutoFlight-PT-12a-rf; mdd-sat; 1; 18.454932; 78220990591414272
CloudDeployment-PT-2b; mdd-sat; 1; 1200; -1
DNAwalker-PT-02track12Block2-rf; ldd-par; 16; 0.018706; 5459
BridgeAndVehicles-PT-V20P20N20; otf-ldd-sat; 2; 1200; -1
LamportFastMutEx-PT-2-rf; ldd-sat; 8; 0.027327; 380
TriangularGrid-PT-1200; ldd-par; 4; 0.225275; 109552
ResAllocation-PT-R005C002; ldd-sat; 2; 0.015839; 112
HouseConstruction-PT-010; ldd-chaining; 2; 0.290745; 1663565805
DES-PT-40a; ldd-par; 16; 1800; -1
RwMutex-PT-r0010w0050; bdd-sat; 4; 0.079464; 1074
DNAwalker-PT-06track28RL; otf-ldd-sat; 8; 0.53; 435340831
ERK-PT-000010; bdd-sat; 8; 0.028993; 47047
PhaseVariation-PT-D02CS010; otf-ldd-sat; 4; 0.24; 7716
DatabaseWithMutex-PT-02-rf; bdd-sat; 1; 0.01686; 153
SmallOperatingSystem-PT-MT0064DC0032-rf; bdd-sat; 4; 0.264238; 9133641
ARMCacheCoherence-PT-none-rf; ldd-sat; 1; 4.131325; 320567601
QuasiCertifProtocol-PT-02; rf-otf-ldd-sat; 16; 0.14; 1029
ResAllocation-PT-R003C002-rf; ldd-par; 4; 0.00984; 20
SmallOperatingSystem-PT-MT0064DC0032; rf-otf-ldd-sat; 4; 1.25; 9133641
DNAwalker-PT-18lozangeBlock; otf-ldd-sat; 4; 1200; -1
DNAwalker-PT-01track12Block1; otf-ldd-sat; 16; 0.13; 3795
MAPK-PT-040-rf; ldd-par; 2; 107.33378; 478293389221095
AutoFlight-PT-03a; ldd-sat; 8; 0.023338; 157681
DLCshifumi-PT-5a; bdd-sat; 1; 217.826151; 8852357036934673300749701348846270365482887033955414804754244941827785464500397033045496930753806540900139008
SwimmingPool-PT-06; ldd-chaining; 2; 344.636353; 1697442696
FMS-PT-100; rf-otf-ldd-sat; 4; 340.38; 0
Eratosthenes-PT-020-rf; ldd-sat; 8; 0.015095; 2048
HouseConstruction-PT-002-rf; ldd-par; 2; 0.019883; 1501
BridgeAndVehicles-PT-V20P20N10; rf-otf-ldd-sat; 16; 2.47; 6732570
PolyORBNT-PT-S10J40; otf-ldd-sat; 8; 1200; -1
DNAwalker-PT-09ringLR-rf; ldd-sat; 8; 0.164471; 28209796
Solitaire-PT-SqrCT5x5; rf-otf-ldd-sat; 4; 1200; -1
FMS-PT-020; rf-otf-ldd-sat; 4; 0.61; 6029168852784
SmallOperatingSystem-PT-MT0128DC0032-rf; ldd-sat; 8; 1.580393; 113321065
Eratosthenes-PT-200-rf; ldd-sat; 2; 0.05404; 11417981541647679048466287755595961091061972992
SwimmingPool-PT-02-rf; bdd-sat; 4; 4.653126; 3408031
Eratosthenes-PT-050; rf-otf-ldd-sat; 16; 0.15; 17179869184
UtahNoC-PT-none-rf; bdd-sat; 16; 0.865277; 4759924249
IBM5964-PT-none; bdd-sat; 1; 0.020919; 15546
